age_group,gender,region,edu_level,employment,personal_income_usd,online_buy_freq,monthly_spend_usd,fav_product_types,brand_loyalty,sub_box_past,seek_features,purchase_pain,social_influence,app_usage,data_share_ok,push_notif_ok,sub_likelihood,budget_per_box,pay_freq_pref,refer_friend,value_personalized
5,Prefer not to say,Asia-Pacific,High school,Student,34579,3,119.45,Fragrance,3,No,Dermatologist-tested,High prices,4,2,Yes,No,3,68.38,Monthly,4,5
4,Female,Europe,Bachelor,Full-time,125338,1,33.13,"Fragrance, Tools/Accessories",4,No,"Cruelty-free, Fragrance-free","Too many options, Delivery issues",4,1,No,Yes,2,14.49,Quarterly,5,3
4,Non-binary / Other,North America,Bachelor,Full-time,39590,2,110.4,"Skincare, Make-up",4,No,"Premium/luxury, Dermatologist-tested, Vegan","Too many options, High prices",4,2,No,Yes,3,66.3,Monthly,5,5
4,Female,Asia-Pacific,Bachelor,Full-time,17297,2,55.4,"Men’s Grooming, Haircare",3,No,Premium/luxury,High prices,4,2,Yes,Yes,2,33.37,Pay-per-box,1,4
3,Male,Asia-Pacific,Bachelor,Unemployed / Other,17820,3,28.29,"Fragrance, Haircare, Men’s Grooming",4,No,"Fragrance-free, Cruelty-free, Vegan","Hard to match shades, Unsure of quality, Too many options",0,1,Yes,No,3,14.32,Pay-per-box,5,2
3,Male,Europe,High school,Full-time,17558,5,56.11,"Skincare, Men’s Grooming",2,No,Fragrance-free,"Hard to match shades, Too many options, Unsure of quality",4,2,No,No,3,23.17,Monthly,4,3
5,Female,Asia-Pacific,Bachelor,Part-time,9872,1,14.69,"Fragrance, Tools/Accessories",5,No,"Premium/luxury, Sustainable packaging","Allergies, Too many options, High prices",3,2,Yes,No,3,17.92,Monthly,2,4
5,Male,Europe,High school,Student,20542,2,37.2,Haircare,5,No,"Sustainable packaging, Fragrance-free",Unsure of quality,3,2,Yes,Yes,3,23.55,Quarterly,5,5
5,Male,Asia-Pacific,High school,Full-time,34951,4,46.49,"Tools/Accessories, Make-up, Skincare",4,Yes,"Dermatologist-tested, Vegan",High prices,3,3,Yes,No,4,26.24,Monthly,3,3
5,Female,North America,Master,Full-time,12812,2,48.75,"Haircare, Tools/Accessories",1,No,"Premium/luxury, Fragrance-free, Dermatologist-tested, Vegan","Allergies, High prices",3,1,Yes,Yes,3,33.91,Monthly,3,3
3,Female,LATAM,<High school,Unemployed / Other,37206,4,566.7061314397615,"Fragrance, Men’s Grooming, Haircare",4,Yes,"Sustainable packaging, Fragrance-free","High prices, Allergies, Delivery issues",3,3,Yes,Yes,3,247.35,Quarterly,2,5
3,Female,Europe,Bachelor,Part-time,28110,4,53.5,"Skincare, Tools/Accessories, Haircare",4,No,Fragrance-free,"Allergies, Too many options",4,3,No,No,3,29.25,Quarterly,4,2
4,Male,Europe,High school,Student,18310,3,29.69,"Haircare, Fragrance",5,No,"Fragrance-free, Dermatologist-tested, Sustainable packaging","Hard to match shades, Delivery issues",4,2,Yes,No,3,22.14,Monthly,2,4
4,Male,North America,Master,Full-time,24625,4,106.08,"Men’s Grooming, Haircare, Tools/Accessories",5,No,"Sustainable packaging, Fragrance-free",Unsure of quality,3,4,Yes,Yes,3,49.58,Quarterly,5,4
4,Male,North America,Bachelor,Full-time,58775,4,130.03,"Haircare, Make-up",5,Yes,"Fragrance-free, Dermatologist-tested, Sustainable packaging",Too many options,1,3,Yes,Yes,3,67.7,Quarterly,4,2
4,Female,MENA,High school,Full-time,38142,5,56.63,"Men’s Grooming, Make-up, Tools/Accessories",1,Yes,"Fragrance-free, Sustainable packaging, Premium/luxury","High prices, Unsure of quality",4,3,Yes,Yes,3,27.93,Monthly,3,2
5,Male,Europe,Bachelor,Full-time,24335,3,59.35,"Men’s Grooming, Fragrance",5,No,"Cruelty-free, Fragrance-free","Too many options, Allergies",1,2,Yes,Yes,3,35.45,Quarterly,1,4
3,Female,LATAM,Master,Full-time,19558,5,54.43,Skincare,4,No,"Premium/luxury, Cruelty-free, Vegan, Fragrance-free",Unsure of quality,4,4,Yes,Yes,4,31.29,Monthly,5,2
3,Female,North America,Doctorate+,Self-employed,22886,5,64.48,"Men’s Grooming, Fragrance",5,No,Premium/luxury,"Hard to match shades, Too many options",4,3,No,Yes,3,27.48,Monthly,4,4
2,Female,Europe,High school,Full-time,15348,5,65.62,"Men’s Grooming, Haircare, Make-up",3,No,"Fragrance-free, Premium/luxury, Dermatologist-tested, Vegan","Allergies, Too many options",4,4,No,Yes,3,26.31,Quarterly,3,4
3,Female,Europe,Master,Full-time,7689,3,26.21,Fragrance,3,No,Fragrance-free,Hard to match shades,3,2,Yes,Yes,2,13.6,Pay-per-box,5,4
1,Female,North America,Master,Part-time,42805,5,53.7,"Haircare, Tools/Accessories",3,No,"Premium/luxury, Dermatologist-tested, Sustainable packaging",Allergies,3,3,Yes,Yes,3,33.05,Monthly,1,4
3,Female,North America,Master,Student,23805,5,94.68,"Make-up, Men’s Grooming, Fragrance",2,No,"Premium/luxury, Cruelty-free, Vegan",Hard to match shades,4,4,Yes,Yes,4,51.01,Pay-per-box,3,4
3,Female,Europe,Bachelor,Full-time,26878,4,85.84,Tools/Accessories,3,No,"Fragrance-free, Sustainable packaging, Vegan","Allergies, Hard to match shades, Too many options",4,2,Yes,Yes,3,56.81,Monthly,4,2
3,Female,MENA,Bachelor,Part-time,21397,5,52.24,"Make-up, Haircare, Fragrance",5,Yes,"Cruelty-free, Fragrance-free, Premium/luxury","Hard to match shades, High prices, Too many options",4,4,Yes,No,3,25.33,Monthly,4,3
3,Female,Europe,Bachelor,Full-time,15251,4,61.18,"Fragrance, Tools/Accessories, Haircare",1,No,Vegan,"High prices, Delivery issues",4,2,No,Yes,3,42.07,Monthly,2,4
1,Female,MENA,Master,Full-time,14049,5,53.48,"Haircare, Tools/Accessories",2,Yes,"Premium/luxury, Vegan","High prices, Too many options, Hard to match shades",4,4,Yes,Yes,4,24.02,Monthly,3,5
1,Female,Asia-Pacific,Bachelor,Full-time,6930,5,79.04,"Men’s Grooming, Tools/Accessories",2,Yes,"Premium/luxury, Dermatologist-tested, Fragrance-free, Sustainable packaging","High prices, Hard to match shades",4,3,No,No,3,35.08,Monthly,3,3
5,Female,North America,Bachelor,Self-employed,75648,2,21.02,Make-up,3,No,Cruelty-free,Unsure of quality,4,1,Yes,Yes,2,7.62,Pay-per-box,5,4
3,Female,MENA,Bachelor,Full-time,59405,4,72.07,Men’s Grooming,5,No,"Vegan, Fragrance-free","Too many options, Unsure of quality",2,2,No,Yes,2,49.54,Monthly,3,5
2,Female,Africa,Master,Full-time,11833,5,114.24,"Haircare, Tools/Accessories",2,No,"Vegan, Cruelty-free, Premium/luxury, Fragrance-free",High prices,4,2,Yes,Yes,3,56.94,Monthly,3,5
3,Female,MENA,Master,Full-time,17674,5,44.93,Make-up,2,Yes,"Sustainable packaging, Vegan",Too many options,4,3,Yes,Yes,3,25.2,Quarterly,5,5
4,Female,Asia-Pacific,High school,Self-employed,50330,5,108.27,"Tools/Accessories, Make-up",5,No,"Fragrance-free, Sustainable packaging","Hard to match shades, Unsure of quality, High prices",2,3,Yes,No,4,53.92,Monthly,3,3
2,Female,Europe,Master,Full-time,19968,5,67.9,"Men’s Grooming, Skincare",5,Yes,"Cruelty-free, Dermatologist-tested","Too many options, Unsure of quality",4,3,No,Yes,3,33.16,Quarterly,3,1
4,Female,Asia-Pacific,Bachelor,Full-time,14246,3,47.74,"Make-up, Haircare, Tools/Accessories",1,Yes,"Dermatologist-tested, Fragrance-free, Sustainable packaging, Premium/luxury",Unsure of quality,1,3,Yes,Yes,3,31.98,Monthly,4,3
2,Male,Asia-Pacific,Master,Full-time,37116,5,52.87,"Tools/Accessories, Make-up",4,No,"Dermatologist-tested, Sustainable packaging, Vegan, Fragrance-free",Too many options,4,4,No,Yes,4,31.42,Monthly,4,2
2,Female,MENA,Bachelor,Full-time,28570,5,109.08,"Skincare, Haircare",4,Yes,Dermatologist-tested,"Hard to match shades, Allergies, Too many options",4,3,Yes,Yes,5,45.16,Quarterly,4,4
3,Female,Africa,Bachelor,Part-time,28831,3,44.29,"Make-up, Men’s Grooming, Fragrance",4,No,Dermatologist-tested,"High prices, Allergies",2,2,Yes,Yes,3,32.5,Monthly,1,5
3,Female,North America,Master,Part-time,31503,5,124.12,"Fragrance, Skincare",3,No,"Sustainable packaging, Fragrance-free",Too many options,3,2,Yes,Yes,3,80.79,Monthly,5,4
4,Female,North America,High school,Full-time,87509,5,119.6,Men’s Grooming,5,Yes,"Cruelty-free, Premium/luxury, Dermatologist-tested",Allergies,3,4,No,Yes,4,45.05,Monthly,2,2
4,Female,Asia-Pacific,Master,Full-time,78815,4,47.05,"Make-up, Haircare, Men’s Grooming",1,No,"Dermatologist-tested, Cruelty-free, Sustainable packaging","Delivery issues, Hard to match shades, High prices",4,2,Yes,No,3,30.46,Monthly,3,2
6,Female,LATAM,Bachelor,Full-time,12500,0,30.12,"Men’s Grooming, Haircare, Make-up",2,No,"Vegan, Dermatologist-tested, Sustainable packaging, Premium/luxury","High prices, Unsure of quality, Hard to match shades",3,1,No,Yes,2,16.13,Quarterly,2,5
3,Female,North America,Bachelor,Full-time,49609,4,27.49,Tools/Accessories,3,No,"Sustainable packaging, Dermatologist-tested, Cruelty-free","Too many options, High prices, Allergies",3,2,Yes,No,4,18.62,Monthly,5,4
3,Female,Europe,Bachelor,Full-time,26677,5,59.17,"Tools/Accessories, Fragrance, Men’s Grooming",3,No,"Cruelty-free, Vegan","Allergies, Unsure of quality, Delivery issues",3,4,Yes,Yes,4,29.62,Monthly,4,5
4,Female,North America,Bachelor,Student,33923,3,52.72,"Fragrance, Make-up, Skincare",5,No,"Vegan, Cruelty-free",Delivery issues,3,2,Yes,Yes,4,29.19,Monthly,5,5
3,Male,Europe,Bachelor,Unemployed / Other,9450,5,98.94,Men’s Grooming,4,No,"Fragrance-free, Vegan","Allergies, Delivery issues",3,4,Yes,Yes,3,66.34,Monthly,4,5
3,Male,Asia-Pacific,<High school,Unemployed / Other,20227,4,114.48,"Haircare, Fragrance, Tools/Accessories",1,Yes,"Premium/luxury, Cruelty-free, Fragrance-free, Dermatologist-tested",Too many options,3,3,Yes,Yes,3,50.61,Pay-per-box,2,5
2,Male,MENA,High school,Self-employed,13203,5,82.92,Haircare,3,No,Cruelty-free,"High prices, Hard to match shades, Allergies",4,2,Yes,No,3,47.39,Pay-per-box,3,4
1,Non-binary / Other,Europe,<High school,Student,23326,5,95.61,Haircare,3,No,"Dermatologist-tested, Premium/luxury","Unsure of quality, Delivery issues",3,3,Yes,Yes,4,58.88,Monthly,4,5
6,Female,Europe,Doctorate+,Student,30103,1,35.98,"Skincare, Men’s Grooming, Tools/Accessories",5,No,"Cruelty-free, Dermatologist-tested, Premium/luxury",High prices,3,2,No,Yes,3,14.07,Monthly,3,4
5,Female,North America,Doctorate+,Full-time,8587,1,16.94,Men’s Grooming,4,No,Dermatologist-tested,"Allergies, High prices, Hard to match shades",3,2,Yes,Yes,3,17.72,Monthly,3,3
4,Female,Europe,Bachelor,Student,26142,4,63.16,"Men’s Grooming, Haircare, Make-up",4,No,"Vegan, Sustainable packaging, Premium/luxury","High prices, Delivery issues",3,2,Yes,Yes,3,25.2,Monthly,5,3
3,Female,Asia-Pacific,Master,Full-time,38597,4,94.56,"Skincare, Fragrance, Haircare",4,No,"Sustainable packaging, Cruelty-free, Dermatologist-tested, Fragrance-free","Delivery issues, Too many options",4,3,No,No,4,49.19,Monthly,4,4
2,Male,Africa,Bachelor,Full-time,18057,5,27.32,"Skincare, Haircare, Men’s Grooming",4,No,"Dermatologist-tested, Fragrance-free, Premium/luxury",Allergies,4,2,Yes,Yes,3,20.97,Monthly,3,2
2,Female,LATAM,Bachelor,Student,28543,5,63.75,"Men’s Grooming, Make-up",4,Yes,"Vegan, Premium/luxury, Fragrance-free, Cruelty-free","Allergies, Hard to match shades, High prices",4,3,Yes,Yes,4,30.03,Quarterly,5,3
3,Male,North America,Master,Full-time,26254,4,27.19,Fragrance,2,No,"Premium/luxury, Dermatologist-tested, Sustainable packaging, Vegan","Hard to match shades, Delivery issues",3,3,Yes,Yes,3,12.01,Monthly,4,4
3,Female,LATAM,Master,Full-time,26129,4,39.04,"Men’s Grooming, Tools/Accessories",5,No,"Fragrance-free, Sustainable packaging, Cruelty-free, Dermatologist-tested","Unsure of quality, High prices",3,1,Yes,Yes,3,22.3,Pay-per-box,1,5
4,Male,Asia-Pacific,Bachelor,Unemployed / Other,23078,5,64.6,Fragrance,4,Yes,"Dermatologist-tested, Cruelty-free, Premium/luxury","Delivery issues, Too many options",4,4,Yes,Yes,5,35.34,Monthly,3,4
4,Female,Asia-Pacific,Master,Full-time,14386,2,105.2,"Men’s Grooming, Fragrance",4,No,"Fragrance-free, Dermatologist-tested, Cruelty-free, Premium/luxury","Hard to match shades, Unsure of quality, Too many options",3,0,Yes,Yes,2,51.08,Quarterly,3,4
3,Female,MENA,High school,Full-time,12572,4,55.2,Fragrance,5,Yes,Fragrance-free,"Delivery issues, Hard to match shades, Allergies",4,3,Yes,Yes,3,31.87,Pay-per-box,3,3
6,Female,Europe,Doctorate+,Unemployed / Other,25122,0,55.94,"Haircare, Make-up",5,No,Sustainable packaging,"High prices, Allergies, Unsure of quality",3,2,Yes,Yes,3,27.77,Monthly,3,3
4,Female,Europe,<High school,Student,26690,2,52.89,Men’s Grooming,5,No,"Dermatologist-tested, Cruelty-free, Fragrance-free, Vegan",Too many options,2,2,Yes,No,3,27.28,Pay-per-box,5,4
3,Female,North America,Bachelor,Part-time,20552,2,29.72,"Tools/Accessories, Fragrance",5,No,"Cruelty-free, Premium/luxury","Hard to match shades, Delivery issues, Unsure of quality",4,1,Yes,Yes,3,19.29,Monthly,4,5
4,Female,North America,Bachelor,Full-time,21383,4,68.7,Tools/Accessories,2,No,"Dermatologist-tested, Fragrance-free, Vegan, Premium/luxury",Allergies,3,3,Yes,No,2,26.25,Pay-per-box,5,4
3,Male,North America,Bachelor,Full-time,18909,5,452.2789361314699,"Men’s Grooming, Tools/Accessories, Fragrance",3,Yes,"Vegan, Fragrance-free",Delivery issues,4,3,Yes,No,4,164.53,Pay-per-box,3,4
2,Female,MENA,High school,Self-employed,33459,5,60.87,Make-up,4,No,Sustainable packaging,"Delivery issues, Allergies, Hard to match shades",4,2,Yes,Yes,4,31.74,Monthly,2,5
3,Female,Asia-Pacific,Master,Part-time,18627,3,97.54,Fragrance,3,No,"Vegan, Cruelty-free, Premium/luxury",High prices,4,2,No,Yes,3,278.77980863470464,Quarterly,5,2
4,Female,MENA,High school,Part-time,13518,5,64.92,Haircare,5,Yes,"Dermatologist-tested, Fragrance-free","Too many options, Unsure of quality",4,4,No,Yes,3,34.57,Monthly,4,4
1,Male,North America,Bachelor,Full-time,22362,5,67.68,Tools/Accessories,4,Yes,"Fragrance-free, Sustainable packaging, Premium/luxury","Allergies, Delivery issues, Hard to match shades",4,4,No,Yes,3,39.67,Monthly,5,5
2,Female,Africa,High school,Full-time,17893,5,52.03,"Haircare, Fragrance, Tools/Accessories",4,No,"Cruelty-free, Sustainable packaging, Vegan, Fragrance-free","High prices, Allergies, Hard to match shades",4,2,Yes,Yes,3,39.32,Monthly,1,4
1,Female,Africa,Bachelor,Unemployed / Other,15662,5,33.6,"Men’s Grooming, Skincare, Tools/Accessories",5,Yes,"Premium/luxury, Vegan","High prices, Too many options, Delivery issues",4,4,Yes,Yes,4,17.25,Monthly,5,2
1,Female,Asia-Pacific,Bachelor,Full-time,34444,5,55.31,"Make-up, Haircare",3,Yes,Cruelty-free,"Hard to match shades, Unsure of quality",4,3,Yes,Yes,3,19.5,Quarterly,3,3
5,Female,Africa,Bachelor,Student,23981,3,78.46,"Tools/Accessories, Men’s Grooming, Fragrance",4,No,"Cruelty-free, Vegan, Premium/luxury, Fragrance-free",Too many options,4,2,Yes,Yes,2,49.1,Monthly,2,4
4,Female,MENA,High school,Full-time,30543,5,72.0,Skincare,4,No,"Vegan, Premium/luxury, Fragrance-free, Cruelty-free","Unsure of quality, Delivery issues",3,3,Yes,Yes,4,30.21,Quarterly,4,3
3,Female,Africa,High school,Student,12216,4,32.47,"Fragrance, Make-up",3,No,"Vegan, Cruelty-free","Allergies, High prices, Hard to match shades",4,3,Yes,No,4,11.75,Monthly,5,5
2,Female,North America,Bachelor,Unemployed / Other,17761,5,31.42,"Fragrance, Make-up, Haircare",2,Yes,"Fragrance-free, Premium/luxury, Cruelty-free, Vegan",Unsure of quality,3,3,No,Yes,4,23.35,Pay-per-box,1,1
3,Male,Europe,Master,Part-time,29874,5,44.99,"Skincare, Men’s Grooming",5,No,"Fragrance-free, Premium/luxury, Dermatologist-tested",Delivery issues,4,2,No,Yes,3,25.24,Monthly,5,3
3,Female,North America,Master,Full-time,10120,5,54.32,"Make-up, Fragrance",4,Yes,"Cruelty-free, Premium/luxury","Delivery issues, High prices, Hard to match shades",3,3,Yes,Yes,3,30.9,Monthly,4,3
2,Female,North America,High school,Part-time,21917,4,51.55,"Men’s Grooming, Fragrance",5,No,"Fragrance-free, Vegan",Allergies,4,2,Yes,Yes,2,22.5,Quarterly,3,5
3,Female,North America,Bachelor,Student,23164,5,56.92,"Fragrance, Men’s Grooming, Tools/Accessories",4,No,"Premium/luxury, Cruelty-free, Fragrance-free, Dermatologist-tested","Unsure of quality, Too many options",3,4,Yes,Yes,3,26.75,Pay-per-box,2,5
3,Non-binary / Other,Asia-Pacific,High school,Full-time,22485,2,45.44,"Make-up, Men’s Grooming, Haircare",2,No,"Sustainable packaging, Dermatologist-tested, Premium/luxury, Cruelty-free",Delivery issues,4,1,Yes,Yes,2,18.83,Quarterly,3,5
4,Female,Asia-Pacific,<High school,Self-employed,44395,2,58.78,"Haircare, Make-up",3,No,"Vegan, Fragrance-free, Premium/luxury, Sustainable packaging","Allergies, Hard to match shades",3,2,Yes,Yes,2,32.57,Monthly,3,4
4,Male,Asia-Pacific,Bachelor,Student,31242,3,41.29,"Skincare, Tools/Accessories",3,No,Sustainable packaging,"Too many options, Delivery issues, Allergies",4,1,Yes,Yes,3,22.19,Monthly,4,5
1,Female,North America,Bachelor,Self-employed,32285,5,41.74,"Fragrance, Tools/Accessories, Haircare",5,Yes,"Premium/luxury, Cruelty-free, Fragrance-free, Dermatologist-tested",Unsure of quality,3,4,Yes,Yes,4,18.79,Monthly,5,5
3,Female,LATAM,High school,Student,13402,5,76.11,Tools/Accessories,1,Yes,"Dermatologist-tested, Vegan, Premium/luxury","Unsure of quality, High prices, Too many options",3,3,Yes,Yes,4,40.57,Monthly,4,4
4,Female,Asia-Pacific,High school,Full-time,28290,4,84.71,"Fragrance, Skincare",5,No,"Cruelty-free, Vegan, Sustainable packaging",High prices,4,2,Yes,Yes,3,41.0,Monthly,3,5
3,Non-binary / Other,Europe,<High school,Full-time,22976,5,47.77,"Fragrance, Tools/Accessories",5,No,Vegan,Delivery issues,4,4,Yes,Yes,4,35.93,Monthly,2,5
5,Female,Asia-Pacific,Master,Full-time,14195,0,120.21,Fragrance,5,No,Premium/luxury,"Allergies, Delivery issues, High prices",4,0,No,Yes,1,63.14,Monthly,5,5
4,Male,Europe,Doctorate+,Unemployed / Other,42636,4,113.28,"Skincare, Men’s Grooming",3,Yes,"Dermatologist-tested, Premium/luxury, Cruelty-free","Unsure of quality, Too many options, Hard to match shades",4,3,No,Yes,3,64.1,Quarterly,3,5
2,Male,Europe,High school,Student,63384,5,40.86,"Men’s Grooming, Make-up, Fragrance",5,No,"Cruelty-free, Premium/luxury, Vegan",Too many options,4,4,Yes,Yes,3,21.94,Quarterly,3,5
2,Female,Africa,High school,Student,19655,5,32.0,"Men’s Grooming, Fragrance, Haircare",3,Yes,"Premium/luxury, Sustainable packaging, Fragrance-free","Delivery issues, Hard to match shades, Allergies",4,3,Yes,Yes,3,18.74,Monthly,4,5
4,Female,Europe,Master,Full-time,34024,2,41.51,"Fragrance, Make-up, Tools/Accessories",1,No,"Vegan, Premium/luxury, Fragrance-free","Unsure of quality, High prices",3,2,Yes,Yes,3,18.22,Monthly,5,4
1,Female,MENA,Master,Full-time,16084,5,67.57,"Tools/Accessories, Men’s Grooming, Fragrance",2,No,"Sustainable packaging, Premium/luxury, Vegan",Hard to match shades,4,2,No,No,3,35.14,Monthly,5,5
3,Female,LATAM,Bachelor,Student,15416,5,144.12,Tools/Accessories,5,Yes,Fragrance-free,Too many options,4,4,Yes,Yes,4,76.75,Monthly,5,3
5,Male,Asia-Pacific,High school,Full-time,9749,4,136.25,Men’s Grooming,1,No,Cruelty-free,"High prices, Hard to match shades, Unsure of quality",2,3,Yes,Yes,3,81.71,Quarterly,5,5
3,Male,North America,<High school,Full-time,15477,3,70.55,Tools/Accessories,4,No,"Cruelty-free, Vegan, Dermatologist-tested, Fragrance-free","High prices, Hard to match shades, Too many options",3,2,Yes,Yes,3,38.36,Quarterly,3,5
3,Female,North America,Bachelor,Student,10982,5,50.69,"Skincare, Haircare, Fragrance",1,No,Sustainable packaging,"Hard to match shades, Too many options, High prices",3,2,Yes,Yes,4,23.12,Quarterly,2,5
4,Female,North America,Bachelor,Full-time,61967,5,103.74,"Make-up, Fragrance, Men’s Grooming",3,Yes,"Dermatologist-tested, Cruelty-free, Vegan",Hard to match shades,4,4,Yes,Yes,4,57.81,Monthly,4,5
3,Male,Asia-Pacific,<High school,Full-time,103970,4,62.71,"Fragrance, Men’s Grooming, Tools/Accessories",1,Yes,"Sustainable packaging, Cruelty-free, Fragrance-free, Dermatologist-tested","Hard to match shades, High prices",2,3,Yes,Yes,3,27.89,Pay-per-box,1,4
3,Female,Europe,Bachelor,Full-time,18528,4,31.13,"Tools/Accessories, Men’s Grooming",5,No,Fragrance-free,"High prices, Too many options",3,1,Yes,No,4,14.52,Monthly,2,4
5,Male,North America,<High school,Full-time,37793,2,22.49,Skincare,4,No,"Fragrance-free, Cruelty-free","Delivery issues, Too many options, Allergies",3,2,No,Yes,3,14.15,Pay-per-box,1,1
3,Female,Africa,Master,Unemployed / Other,12570,5,50.91,"Make-up, Haircare, Men’s Grooming",5,Yes,"Fragrance-free, Cruelty-free, Sustainable packaging, Vegan","Too many options, High prices, Allergies",4,3,Yes,Yes,4,27.23,Monthly,2,2
6,Female,MENA,Bachelor,Full-time,12009,2,77.9,"Men’s Grooming, Fragrance",4,No,"Vegan, Dermatologist-tested, Sustainable packaging, Premium/luxury","Hard to match shades, High prices, Delivery issues",2,2,Yes,Yes,3,46.42,Monthly,4,4
5,Female,North America,<High school,Full-time,25067,3,29.99,"Tools/Accessories, Make-up, Skincare",5,No,Dermatologist-tested,Delivery issues,4,2,No,No,3,22.2,Monthly,3,4
2,Female,MENA,Bachelor,Full-time,33157,5,51.89,"Men’s Grooming, Haircare, Skincare",4,Yes,"Sustainable packaging, Fragrance-free","Too many options, Hard to match shades",4,3,Yes,Yes,4,20.84,Monthly,3,3
2,Female,Asia-Pacific,Bachelor,Student,25475,5,116.89,Fragrance,4,Yes,Cruelty-free,"Allergies, Hard to match shades, High prices",4,3,Yes,No,4,40.7,Monthly,5,3
2,Female,North America,Doctorate+,Full-time,22444,5,71.54,"Tools/Accessories, Men’s Grooming",4,Yes,Dermatologist-tested,Unsure of quality,3,3,Yes,No,4,26.07,Pay-per-box,4,3
1,Female,Europe,Bachelor,Part-time,16032,5,75.11,"Skincare, Men’s Grooming",3,No,"Vegan, Sustainable packaging, Dermatologist-tested","Hard to match shades, Unsure of quality",4,4,No,No,3,40.58,Monthly,5,5
2,Male,LATAM,High school,Full-time,24215,5,95.18,Haircare,5,No,Cruelty-free,"Too many options, Hard to match shades",4,3,Yes,No,4,58.83,Quarterly,3,4
4,Male,MENA,Master,Full-time,29235,3,42.12,"Make-up, Men’s Grooming",4,Yes,"Dermatologist-tested, Sustainable packaging, Vegan, Cruelty-free","Hard to match shades, Too many options",3,3,Yes,No,4,35.22,Pay-per-box,3,2
2,Female,MENA,High school,Full-time,11844,5,120.32,"Make-up, Fragrance, Men’s Grooming",5,No,"Dermatologist-tested, Cruelty-free, Vegan",Allergies,4,4,Yes,Yes,4,52.22,Quarterly,2,5
3,Female,Europe,Master,Self-employed,22539,4,77.06,"Tools/Accessories, Skincare, Make-up",4,No,"Sustainable packaging, Premium/luxury, Dermatologist-tested, Fragrance-free",Too many options,2,2,No,No,3,31.33,Monthly,4,3
5,Female,North America,Bachelor,Self-employed,14164,1,36.94,Make-up,2,No,"Cruelty-free, Fragrance-free, Sustainable packaging, Vegan",Unsure of quality,2,2,Yes,Yes,3,28.53,Pay-per-box,5,4
1,Female,North America,Bachelor,Full-time,16056,5,108.84,"Fragrance, Tools/Accessories, Skincare",4,No,"Cruelty-free, Sustainable packaging, Premium/luxury, Fragrance-free","Allergies, Delivery issues, Unsure of quality",4,3,Yes,Yes,4,68.63,Monthly,2,2
5,Female,Europe,High school,Part-time,19053,2,65.16,"Haircare, Men’s Grooming",2,No,"Premium/luxury, Sustainable packaging","Too many options, High prices, Hard to match shades",4,3,Yes,Yes,3,29.79,Monthly,5,5
3,Female,North America,Bachelor,Unemployed / Other,78408,3,52.62,Men’s Grooming,4,No,"Vegan, Cruelty-free, Fragrance-free, Dermatologist-tested","High prices, Hard to match shades",2,2,Yes,No,3,32.29,Quarterly,4,2
2,Female,North America,Master,Full-time,19432,5,76.33,Men’s Grooming,4,No,"Sustainable packaging, Vegan, Dermatologist-tested","Allergies, High prices, Hard to match shades",4,4,Yes,Yes,2,38.71,Monthly,2,5
4,Female,LATAM,Master,Self-employed,13097,4,37.07,"Skincare, Men’s Grooming",5,No,"Fragrance-free, Cruelty-free","Too many options, Hard to match shades",2,3,No,No,4,27.02,Quarterly,4,4
4,Female,Africa,High school,Full-time,24716,5,102.06,Haircare,1,Yes,Sustainable packaging,"Allergies, High prices",4,3,Yes,Yes,3,39.94,Monthly,4,2
5,Female,Asia-Pacific,High school,Unemployed / Other,31413,4,138.61,Skincare,1,Yes,"Sustainable packaging, Vegan","Hard to match shades, High prices",3,3,Yes,Yes,4,83.08,Monthly,1,1
4,Prefer not to say,LATAM,Master,Student,61022,3,25.5,"Skincare, Tools/Accessories",1,No,"Vegan, Cruelty-free, Fragrance-free, Sustainable packaging","Allergies, High prices",2,2,Yes,Yes,2,15.58,Monthly,3,4
5,Female,North America,Master,Unemployed / Other,18044,0,22.31,"Tools/Accessories, Haircare",3,No,"Cruelty-free, Vegan, Premium/luxury, Sustainable packaging",High prices,1,1,Yes,Yes,2,20.28,Pay-per-box,5,5
3,Female,Africa,High school,Student,9984,5,45.41,Make-up,5,Yes,"Fragrance-free, Premium/luxury, Sustainable packaging, Dermatologist-tested",Allergies,4,4,Yes,No,3,24.8,Pay-per-box,4,1
2,Female,North America,Bachelor,Full-time,29823,5,84.9,Men’s Grooming,5,No,Premium/luxury,Hard to match shades,4,4,Yes,Yes,4,40.81,Monthly,3,5
4,Female,Africa,Bachelor,Unemployed / Other,13253,2,50.84,Skincare,4,No,"Fragrance-free, Sustainable packaging, Dermatologist-tested, Premium/luxury","High prices, Hard to match shades",4,2,Yes,Yes,4,29.79,Monthly,5,4
5,Male,Africa,Master,Full-time,19481,2,35.19,Skincare,5,No,"Fragrance-free, Dermatologist-tested, Cruelty-free",Hard to match shades,2,3,Yes,Yes,3,21.04,Monthly,3,3
6,Female,Asia-Pacific,High school,Full-time,15491,0,28.11,"Haircare, Make-up",3,No,"Cruelty-free, Fragrance-free, Vegan, Sustainable packaging","Too many options, High prices",4,1,Yes,No,2,17.88,Monthly,3,2
3,Prefer not to say,Africa,High school,Student,21272,5,48.48,"Men’s Grooming, Haircare",1,Yes,"Cruelty-free, Sustainable packaging",Delivery issues,4,3,Yes,No,4,28.08,Pay-per-box,3,5
